Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30
Other Long-Term Liabilities,1855128000000,1907109000000,2114539000000,2071300000000,1929873000000,1929665000000,1906410000000,1888357000000,1836564000000,1886492000000,1824594000000,1813666000000,1860555000000,1750149000000,1708610000000,1693456000000,1666181000000,1575867000000,1645224000000,1600859000000,1549216000000,1650909000000,1922314000000,1907856000000,1890224000000,1944114000000,1716353000000,1807562000000,1942772000000,1874713000000,1694714000000,1763318000000,1754539000000,1807655000000,1593710000000,1522845000000,1563238000000,1667022000000,1618611000000,1684808000000,1630085000000,1462631000000,1384708000000,1397578000000,1454937000000,1359954000000,1355987000000,1385550000000,1376530000000,1323330000000,1304649000000,1304851000000,1440520000000,1488338000000,1471441000000,1507954000000,1518568000000,1421462000000,1546264000000,1471060000000,1414270000000,1239138000000,1248552000000,1345654000000,1237712000000,1051726000000,1030457000000,1029997000000,1045523000000,737458000000,742313000000,717163000000,719612000000,731104000000,750989000000,720935000000,724937000000,801024000000,810042000000,798561000000,788999000000,568319000000,550260000000,536935000000,540181000000,336661000000,323792000000,308744000000
Total Liabilities,13123925000000,12739527000000,13917033000000,13666048000000,13200607000000,12213462000000,12152330000000,12378617000000,12548191000000,12204151000000,12203204000000,11974826000000,12175442000000,11744450000000,11710792000000,11795043000000,11853332000000,11225899000000,11596127000000,11284805000000,11115069000000,11311365000000,11554748000000,11313877000000,11388497000000,11290383000000,10184217000000,10375730000000,11197506000000,11083721000000,10928144000000,11290603000000,11043016000000,10815174000000,9955787000000,9319652000000,9508633000000,9579765000000,8854958000000,8698505000000,8429934000000,7678276000000,6920899000000,6945022000000,7269697000000,6523128000000,6498411000000,6676364000000,6987962000000,6744976000000,6861869000000,6961718000000,7172685000000,7185910000000,7111286000000,7585024000000,7688573000000,7646203000000,8469760000000,8337098000000,7923258000000,7923700000000,7689979000000,7773975000000,7430982000000,6936867000000,6790417000000,6485320000000,6418190000000,6431671000000,6256013000000,6083941000000,6027676000000,5598795000000,5782945000000,5314027000000,5454368000000,5056032000000,5247806000000,5176175000000,5051571000000,4504311000000,4378235000000,4086359000000,4366854000000,3830096000000,3642992000000,3565829000000
Total Debt,8278014000000,8310439000000,9070143000000,8947805000000,8621539000000,8018249000000,8167414000000,8168070000000,8183939000000,8085217000000,8124121000000,8167053000000,7982321000000,7796308000000,7648974000000,7662581000000,7527719000000,7331981000000,7514929000000,7234651000000,6974420000000,7308973000000,7165329000000,7021581000000,6976143000000,7082771000000,6186743000000,6288535000000,6663812000000,6986291000000,6953186000000,7130821000000,6930701000000,6921298000000,6284293000000,5843333000000,5856874000000,5988371000000,5392281000000,5215629000000,4894188000000,4578620000000,4012945000000,3989094000000,4111244000000,3835868000000,3756997000000,4031917000000,4100435000000,4054400000000,4067316000000,4151900000000,4101675000000,4251734000000,4186200000000,4591459000000,4616979000000,4532834000000,4948728000000,4843804000000,4394817000000,4611488000000,4293196000000,4282680000000,3947020000000,3879400000000,3715560000000,3472989000000,3230202000000,3204608000000,3093835000000,2976519000000,2863919000000,2790523000000,2860958000000,2572707000000,2616008000000,2412864000000,2492137000000,2489442000000,2322478000000,2231026000000,2033883000000,1897060000000,2059697000000,1979256000000,1773781000000,1749712000000
Debt Growth,-3.98%,3.64%,11.05%,9.55%,5.35%,-0.83%,0.53%,0.01%,2.53%,3.71%,6.21%,6.58%,6.04%,6.33%,1.78%,5.92%,7.93%,0.31%,4.88%,3.03%,-0.02%,3.19%,15.82%,11.66%,4.69%,1.38%,-11.02%,-11.81%,-3.85%,0.94%,10.64%,22.03%,18.33%,15.58%,16.54%,12.04%,19.67%,30.79%,34.37%,30.75%,19.04%,19.36%,6.81%,-1.06%,0.26%,-5.39%,-7.63%,-2.89%,-0.03%,-4.64%,-2.84%,-9.57%,-11.16%,-6.20%,-15.41%,-5.21%,5.06%,-1.71%,15.27%,13.10%,11.35%,18.87%,15.55%,23.31%,22.19%,21.06%,20.10%,16.68%,12.79%,14.84%,8.14%,15.70%,9.48%,15.65%,14.80%,3.34%,12.64%,8.15%,22.53%,31.23%,12.76%,12.72%,14.66%,8.42%,,,,
Common Stock,1204122000000,1192393000000,1843320000000,1625677000000,933691000000,475868000000,308725000000,294984000000,181040000000,-180619000000,-193187000000,-129474000000,-130689000000,148436000000,98452000000,150214000000,294083000000,258494000000,456184000000,336735000000,322206000000,639466000000,685004000000,594507000000,582402000000,690935000000,80862000000,162316000000,567122000000,834953000000,821602000000,1114966000000,1025054000000,281976000000,281992000000,281955000000,280311000000,280025000000,280048000000,278993000000,278643000000,278523000000,278522000000,279805000000,279663000000,279324000000,279151000000,278824000000,278816000000,278638000000,278641000000,222467000000,232329000000,231729000000,231714000000,230935000000,230849000000,229162000000,228922000000,228429000000,226480000000,226292000000,222429000000,221893000000,254887000000,254899000000,261918000000,276377000000,265051000000,228304000000,252421000000,269331000000,273845000000,240248000000,265724000000,130373000000,139539000000,171083000000,205999000000,227544000000,231221000000,263393000000,277992000000,287539000000,287516000000,287565000000,286973000000,286973000000
Retained Earnings,10023979000000,9908565000000,9766346000000,9577035000000,9539133000000,9294994000000,9197111000000,9030414000000,8901266000000,8487222000000,8235636000000,8013714000000,8142948000000,8312797000000,8242571000000,8096826000000,7973637000000,8081616000000,7929606000000,7760896000000,7611332000000,7511626000000,7008465000000,6877387000000,6712894000000,6612800000000,6483674000000,6334667000000,6194311000000,6402345000000,6317809000000,6230039000000,6083573000000,6735982000000,6639104000000,6536898000000,6431682000000,6297510000000,6172811000000,6089548000000,6001649000000,5964630000000,5921434000000,5873576000000,5758641000000,5724811000000,5704357000000,5671292000000,5666539000000,5649200000000,5589715000000,5556670000000,5304473000000,5251049000000,5130958000000,5092220000000,5099267000000,5300909000000,5320620000000,5237725000000,5106197000000,5114834000000,4955044000000,4783404000000,4654890000000,4509692000000,4419972000000,4292343000000,4267886000000,4114719000000,4018709000000,3885001000000,3809383000000,3772941000000,3648428000000,3679876000000,3589434000000,3515324000000,3382512000000,3245153000000,3161664000000,3044948000000,2945720000000,2858539000000,2765600000000,2658891000000,2589892000000,2505530000000
Comprehensive Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-235079000000,-608583000000,-840841000000,-793014000000,-798542000000,-976052000000,-1043791000000,-1236792000000,-1543577000000,-1804147000000,-1703789000000,-1646078000000,-1758752000000,-1686230000000,-1526761000000,-1495380000000,-1539352000000,-1489980000000,-1366249000000,-1208162000000,-1283287000000,-1331991000000,-1262373000000,-1322828000000,-1273734000000,-787432000000,-703925000000,-782198000000,-381961000000,-340721000000,-252773000000,-427166000000,-311334000000,-369600000000,-412314000000,-407187000000,-524314000000,-644464000000,-738729000000,-793934000000,-856001000000,-779754000000,-822396000000,-854573000000,-911674000000,-844530000000,-738201000000,-763165000000,-680636000000,-630362000000,-621543000000,-479175000000,-429328000000,-537326000000,-469818000000
Shareholders' Equity,11228101000000,11100958000000,11609666000000,11202712000000,10472824000000,9770862000000,9505836000000,9325398000000,9082306000000,8306603000000,8042449000000,7884240000000,8012259000000,8461233000000,8341023000000,8247040000000,8267720000000,8340110000000,8385790000000,8097631000000,7933538000000,8151092000000,7693469000000,7471894000000,7295296000000,7303735000000,6564536000000,6496983000000,6761433000000,7237298000000,7139411000000,7345005000000,7108627000000,6782879000000,6312513000000,5978012000000,5918979000000,5778993000000,5476807000000,5324750000000,5043500000000,4699576000000,4395809000000,4449592000000,4392226000000,4245383000000,4297278000000,4423355000000,4449975000000,4388486000000,4378376000000,4412888000000,4328640000000,4199491000000,4030681000000,4060782000000,4007288000000,4256337000000,4762110000000,4762229000000,4550479000000,4959165000000,4836752000000,4752524000000,4482611000000,4453257000000,4312290000000,4156406000000,4125750000000,3818709000000,3626666000000,3415603000000,3289294000000,3157188000000,3134398000000,2987853000000,2874400000000,2774733000000,2743981000000,2734496000000,2629720000000,2627705000000,2593350000000,2524535000000,2573941000000,2517128000000,2339539000000,2322685000000
Net Cash / Debt,-2311615000000,-2534995000000,-2989261000000,-3122341000000,-3034752000000,-3307232000000,-3765474000000,-3717099000000,-3335958000000,-3175279000000,-3416457000000,-3697531000000,-3241557000000,-3212982000000,-3296732000000,-3226629000000,-2918691000000,-3034977000000,-3157369000000,-2927724000000,-2664056000000,-2993599000000,-3010366000000,-2992513000000,-2841802000000,-3157742000000,-2739876000000,-2756485000000,-2877307000000,-3224938000000,-3258020000000,-3260753000000,-3267312000000,-3899209000000,-3545754000000,-3257113000000,-3223745000000,-3296686000000,-2866753000000,-2731047000000,-2445058000000,-2268545000000,-1982186000000,-1790477000000,-1782410000000,-1645035000000,-1396389000000,-1653249000000,-1690343000000,-1799115000000,-1691795000000,-1798588000000,-1881615000000,-2142760000000,-2208490000000,-2683135000000,-2754580000000,-2522214000000,-2475016000000,-2290894000000,-2003187000000,-2151212000000,-1934870000000,-1912559000000,-1575250000000,-1687596000000,-1497881000000,-1416587000000,-1282502000000,-1274000000000,-1148393000000,-1117399000000,-1069265000000,-1099764000000,-1073473000000,-906096000000,-941854000000,-693752000000,-785399000000,-796274000000,-677533000000,-808950000000,-534623000000,-501308000000,-455169000000,-662993000000,-540596000000,-609209000000
Working Capital,2972260000000,2919663000000,2946890000000,2953579000000,2837026000000,2076675000000,1869748000000,1510358000000,1863634000000,1633885000000,1648766000000,1515049000000,1510922000000,1637473000000,1372449000000,1487678000000,1366170000000,1389454000000,1307307000000,1304644000000,1301189000000,1382276000000,1226069000000,1180914000000,1126625000000,927846000000,736762000000,578897000000,771275000000,1004780000000,1013880000000,809331000000,995086000000,1163772000000,905923000000,968539000000,1059937000000,1226066000000,1108289000000,1199855000000,1234049000000,1034424000000,1000172000000,1141637000000,1159327000000,895721000000,969768000000,922869000000,1121855000000,1183565000000,1170863000000,1102394000000,1194594000000,1031741000000,1009433000000,601745000000,383810000000,546965000000,713047000000,437781000000,559232000000,695723000000,577974000000,834875000000,905082000000,719022000000,723431000000,1088271000000,1081936000000,496160000000,443715000000,381701000000,260178000000,354667000000,327798000000,463556000000,318435000000,449811000000,169097000000,173722000000,169970000000,35864000000,60687000000,39975000000,-21715000000,-234096000000,-372881000000,-346219000000
Book Value Per Share,6667.68,6500.44,6786.59,6548.99,6065.53,5659.19,5505.26,5400.85,5260.12,4810.93,4657.94,4566.31,4553.56,4808.72,4740.40,4686.99,4649.29,4689.99,4715.68,4553.64,4401.94,4522.66,4268.74,4145.80,4047.81,4052.49,3642.34,3604.86,3751.58,4015.61,3961.30,4075.37,3944.22,3763.48,3502.49,3316.90,3284.13,3206.46,3038.79,2954.42,2798.37,2607.54,2439.00,2468.84,2437.01,2355.53,2384.33,2454.28,2452.31,2418.43,2412.86,2431.88,2385.44,2314.27,2221.24,2237.83,2208.43,2345.69,2624.42,2624.49,2497.53,2721.84,2654.65,2602.49,2454.68,2438.61,2361.41,2276.05,2145.75,1986.06,1886.18,1749.89,1685.17,1617.49,1605.82,1491.88,1435.23,1385.47,1370.11,1403.15,1349.39,1348.35,1330.72,1295.41,,,,
